
酒店名字,地址,评分,推荐度,点评数,价格
广州四季酒店,珠江新城,4.8,57,3423,1632
广州白天鹅宾馆,上下九步行街,4.8,23,2117,925
驿路时空(广州新白云国际机场旗舰店),白云区,4.9,0,289,212
广州星河湾酒店,番禺长隆,4.7,7,1817,773
鲜居精品主题酒店(广州番禺动物园景区店),番禺长隆,4.8,2,1672,239
广州万富希尔顿酒店,白云区,4.5,26,2779,743
广州艾斯曼公寓,番禺区,4.9,0,361,116
广州W酒店,珠江新城,4.6,53,2117,1466
广州希尔顿逸林酒店,北京路,4.5,28,3585,736
广州白云机场铂尔曼大酒店,花都区,4.6,20,2596,1128
广州都喜泰丽温泉度假酒店,从化区,4.5,20,1179,975
广州白水寨嘉华温泉酒店,白水寨,4.7,5,817,980
柏高酒店(广州白云机场莲塘地铁站店),花都区,4.6,0,43,190
广州桃花江豪生酒店,北京路,4.6,10,1403,531
广州九龙湖公主酒店,花都区,4.4,19,1565,647
碧桂园空港凤凰酒店(广州新白云机场店),花都区,4.7,8,2123,444
兰斯主题酒店(广州新白云国际机场店),白云区,4.9,4,2972,198
广州南沙越秀喜来登酒店,南沙区,4.6,7,304,748
广州白云湖畔酒店(广东南湖旅游中心),永泰,4.5,8,1772,427
广州柏悦酒店,珠江新城,4.7,21,285,1600
广州天河希尔顿酒店,天河区,4.5,49,4950,746
广州广交会威斯汀酒店,海珠区,4.6,21,1123,816
柏曼酒店(广州市桥地铁站易发步行街店),番禺市桥,4.4,3,492,217
广东空港大酒店,白云区,4.8,2,2027,209
广州从化温泉长信别墅,从化温泉旅游区,4.7,1,83,168
广州碧泉空中温泉大酒店,从化温泉旅游区,4.6,16,2007,662
广州长风凯莱酒店,新塘,4.8,1,447,459
广州斯尼原创艺术主题公寓,番禺长隆,4.8,0,121,138
广州香格里拉大酒店,海珠区,4.6,48,1558,923
尚客优品active酒店(广州板桥地铁站店),番禺长隆,4.7,0,36,187
